timestamp,step,phase,cpu_util_percent,gpu_util_percent,gpu_mem_mb,gpu_power_w,host_mem_mb,disk_read_mb_s,disk_write_mb_s
2026-04-21T02:01:38.495+00:00,597,forward,106.023,100.000,1587.189,298.960,1200.531,0.000,0.030
2026-04-21T02:01:38.629+00:00,600,idle,99.963,100.000,143.019,298.940,1200.656,0.000,0.000
2026-04-21T02:01:38.759+00:00,608,forward,97.173,100.000,1585.012,299.250,1200.594,0.000,0.000
2026-04-21T02:01:38.889+00:00,610,idle,100.383,100.000,1585.012,299.380,1200.656,0.000,0.000
2026-04-21T02:01:39.019+00:00,618,optimizer,99.919,100.000,1424.057,298.800,1200.656,0.000,0.000
2026-04-21T02:01:39.149+00:00,620,idle,99.912,100.000,1532.734,298.760,1200.531,0.000,0.000
2026-04-21T02:01:39.279+00:00,629,backward,107.836,100.000,143.019,298.840,1200.594,0.000,0.000
2026-04-21T02:01:39.409+00:00,633,optimizer,92.308,100.000,1318.736,298.890,1200.656,0.000,0.000
2026-04-21T02:01:39.538+00:00,640,backward,107.707,100.000,143.019,299.200,1200.656,0.000,0.000
2026-04-21T02:01:39.671+00:00,646,forward,100.510,100.000,1318.736,299.100,1200.594,0.000,0.000
2026-04-21T02:01:39.800+00:00,650,idle,97.958,100.000,143.019,299.320,1200.594,0.000,0.118
2026-04-21T02:01:39.931+00:00,657,forward,107.904,100.000,1532.734,299.400,1200.656,0.000,0.000
2026-04-21T02:01:40.060+00:00,660,idle,91.733,100.000,143.019,299.190,1200.656,0.000,0.000
2026-04-21T02:01:40.192+00:00,667,optimizer,108.515,100.000,1587.189,298.530,1200.656,0.000,0.727
2026-04-21T02:01:40.321+00:00,670,idle,98.715,100.000,143.019,298.720,1200.594,0.000,0.000
2026-04-21T02:01:40.452+00:00,678,backward,100.619,100.000,1073.525,299.130,1200.656,0.000,0.000
2026-04-21T02:01:40.581+00:00,680,idle,99.375,100.000,1585.012,299.370,1200.656,0.000,0.269
2026-04-21T02:01:40.711+00:00,689,backward,108.463,100.000,186.195,299.370,1200.594,0.000,0.000
2026-04-21T02:01:40.841+00:00,693,backward,99.759,100.000,1489.360,299.550,1200.531,0.000,0.000
